GLAND-BOWDEN-SHEATH-FWD	FIXED	FIXED-SECTOR-2=0.0;FWD-RING-02=0.0;FWD-SHELL-001=0.2499999999999536;ROUTE-BOWDEN-SHEATH-001=0.3605958636065678;ROUTE-BOWDEN-WIRE-001=0.8605958636065678;ARM-LONGERON-2=2.9233789567355375
GLAND-GAS-MAIN-AFT	FIXED	AFT-ROUTE-RING-001=0.0;FIXED-SECTOR-1=0.0;ROUTE-GAS-MAIN-001=0.0;AFT-SHELL-001=0.19999999999997908;ARM-LONGERON-1=2.723378956735541;ARM-2=6.860927755132514
GLAND-GAS-MAIN-FWD	FIXED	FIXED-SECTOR-1=0.0;FWD-RING-02=0.0;ROUTE-GAS-MAIN-001=0.02132435997377291;FWD-SHELL-001=0.19999999999997908;ARM-LONGERON-1=2.723378956735541;PIVOT-CARRIER-2=3.9277026323974016
GLAND-PILOT-LINE-AFT	FIXED	AFT-ROUTE-RING-001=0.0;FIXED-SECTOR-1=0.0;ROUTE-PILOT-LINE-001=0.0;AFT-SHELL-001=0.24999999999999145;ARM-LONGERON-1=2.9733789567355355;ARM-1=7.110927755132518
GLAND-PILOT-LINE-FWD	FIXED	FIXED-SECTOR-1=0.0;FWD-RING-02=0.0;FWD-SHELL-001=0.24999999999996603;ROUTE-PILOT-LINE-001=0.3641720290623036;ARM-LONGERON-1=2.9733789567355355;BOOSTER-1=3.963877109988363
GS19-BODY-001	FIXED	ARM-LONGERON-1=5.0242958677880805E-15;GS19-PIN-FIXED=0.17999999999985736;GS19-FIXED-YOKE=0.24999999999999897;GS19-ROD-001=1.1999999999999988;FIXED-SECTOR-1=1.2000000000000006;GS19-CLIP-FIXED=2.4749999999999988
GS19-CLIP-FIXED	FIXED	GS19-PIN-FIXED=0.0;GS19-FIXED-YOKE=0.22499999999999853;GS19-BODY-001=2.4749999999999988;ARM-LONGERON-1=6.119941995760188;FIXED-SECTOR-1=7.2839062585065735;ROUTE-GAS-MAIN-001=8.745591071358973
GS19-CLIP-MOVING	MOVING	GS19-PIN-MOVING=0.0;CROSSHEAD-001=0.7249999999999988;GS19-ROD-001=2.4749999999999988;LINK-PIN-2-CROSSHEAD=4.57527138939477;ARM-LONGERON-1=6.119941995760188;LINK-2-1=6.722320673378299
GS19-FIXED-YOKE	FIXED	GS19-PIN-FIXED=0.17999999999980934;GS19-CLIP-FIXED=0.22499999999999853;GS19-BODY-001=0.24999999999999897;ARM-LONGERON-1=2.064085880955661;FIXED-SECTOR-1=3.264085880955663;ROUTE-GAS-MAIN-001=6.555103458959174
GS19-PIN-FIXED	FIXED	GS19-CLIP-FIXED=0.0;GS19-FIXED-YOKE=0.17999999999978594;GS19-BODY-001=0.17999999999985736;ARM-LONGERON-1=5.716294004648571;FIXED-SECTOR-1=6.4658521490318;ROUTE-PILOT-LINE-001=7.81752632789828
GS19-PIN-MOVING	MOVING	GS19-CLIP-MOVING=0.0;CROSSHEAD-001=0.17999999999989116;GS19-ROD-001=0.1799999999999291;LINK-PIN-2-CROSSHEAD=3.790381056766578;LINK-CLIP-1-CROSSHEAD=4.028393758658796;LINK-PIN-1-CROSSHEAD=4.156406460551014
GS19-ROD-001	MOVING	GS19-PIN-MOVING=0.1799999999999291;CROSSHEAD-001=0.19999999999998622;GS19-BODY-001=1.1999999999999988;GS19-CLIP-MOVING=2.4749999999999988;ARM-LONGERON-1=4.392205934071605;CROSSHEAD-GUIDE-001=5.300000000000006
HARNESS-TERMINAL-001	MOVING	HARNESS-LEG-XN=0.0;HARNESS-LEG-XP=0.0;HARNESS-LEG-YN=0.0;HARNESS-LEG-YP=0.0;RECOVERY-TETHER-001=0.0;RECOVERY-PIN-HARNESS=0.199999999999806
HBD-BODY-001	FIXED	HBD-PIN-FIXED=0.17999999999983227;HBD-FIXED-YOKE=0.24999999999999978;HBD-ROD-001=0.9999999999999991;ARM-LONGERON-2=1.0;FIXED-SECTOR-2=2.1999999999999993;HBD-CLIP-FIXED=2.475
HBD-CLIP-FIXED	FIXED	HBD-PIN-FIXED=0.0;HBD-FIXED-YOKE=0.22499999999999964;HBD-BODY-001=2.475;ARM-LONGERON-2=5.136892559531638;FIXED-SECTOR-2=6.324855507800989;ROUTE-BOWDEN-SHEATH-001=8.191806294367709
HBD-CLIP-MOVING	MOVING	HBD-PIN-MOVING=0.0;CROSSHEAD-001=0.7250000000000001;HBD-ROD-001=2.475;LINK-PIN-3-CROSSHEAD=4.559609983877793;ARM-LONGERON-2=5.136892559531638;FIXED-SECTOR-2=6.324855507800989
HBD-FIXED-YOKE	FIXED	HBD-PIN-FIXED=0.17999999999982486;HBD-CLIP-FIXED=0.22499999999999964;HBD-BODY-001=0.24999999999999978;ARM-LONGERON-2=1.0839670560568833;FIXED-SECTOR-2=2.283967056056882;ROUTE-BOWDEN-SHEATH-001=6.3825524874417985
HBD-PIN-FIXED	FIXED	HBD-CLIP-FIXED=0.0;HBD-BODY-001=0.17999999999983227;HBD-FIXED-YOKE=0.17999999999983773;ARM-LONGERON-2=4.716294004648571;FIXED-SECTOR-2=5.531845297405528;ROUTE-BOWDEN-SHEATH-001=8.340443331394974
HBD-PIN-MOVING	MOVING	HBD-CLIP-MOVING=0.0;CROSSHEAD-001=0.17999999999989116;HBD-ROD-001=0.1799999999999201;LINK-PIN-3-CROSSHEAD=3.7903810567665754;LINK-CLIP-2-CROSSHEAD=4.028393758658799;LINK-PIN-2-CROSSHEAD=4.1564064605510165
HBD-ROD-001	MOVING	HBD-PIN-MOVING=0.1799999999999201;CROSSHEAD-001=0.24999999999999978;HBD-BODY-001=0.9999999999999991;HBD-CLIP-MOVING=2.475;ARM-LONGERON-2=3.895026825457201;FIXED-SECTOR-2=5.0950268254572
